ID,Year,Week,Week Start Date,Week End Date,Positive,Treshold Anomaly,Z_Score Anomaly,Tukey's Model Anomaly
0,2015,40,28/09/2015,04/10/2015,0,FALSE,FALSE,FALSE
1,2015,41,05/10/2015,11/10/2015,0,FALSE,FALSE,FALSE
2,2015,42,12/10/2015,18/10/2015,1,FALSE,FALSE,FALSE
3,2015,43,19/10/2015,25/10/2015,0,FALSE,FALSE,FALSE
4,2015,44,26/10/2015,01/11/2015,1,FALSE,FALSE,FALSE
5,2015,45,02/11/2015,08/11/2015,1,FALSE,FALSE,FALSE
6,2015,46,09/11/2015,15/11/2015,0,FALSE,FALSE,FALSE
7,2015,47,15/11/2015,22/11/2015,0,FALSE,FALSE,FALSE
8,2015,48,23/11/2015,29/11/2015,0,FALSE,FALSE,FALSE
9,2015,49,30/11/2015,06/12/2015,1,FALSE,FALSE,FALSE
10,2015,50,07/12/2015,13/12/2015,6,FALSE,FALSE,FALSE
11,2015,51,14/12/2015,20/12/2015,29,FALSE,FALSE,FALSE
12,2015,52,21/12/2015,27/12/2015,40,FALSE,FALSE,TRUE
13,2015,53,28/12/2015,03/01/2016,39,FALSE,FALSE,TRUE
14,2016,1,04/01/2016,10/01/2016,81,TRUE,TRUE,TRUE
15,2016,2,11/01/2016,17/01/2016,108,TRUE,TRUE,TRUE
16,2016,3,18/01/2016,24/01/2016,86,TRUE,TRUE,TRUE
17,2016,4,25/01/2016,31/01/2016,60,FALSE,TRUE,TRUE
18,2016,5,01/02/2016,07/02/2016,59,FALSE,TRUE,TRUE
19,2016,6,08/02/2016,14/02/2016,35,FALSE,FALSE,FALSE
20,2016,7,15/02/2016,21/02/2016,50,FALSE,FALSE,TRUE
21,2016,8,22/02/2016,28/02/2016,47,FALSE,FALSE,TRUE
22,2016,9,29/02/2016,06/03/2016,22,FALSE,FALSE,FALSE
23,2016,10,07/03/2016,13/03/2016,31,FALSE,FALSE,FALSE
24,2016,11,14/03/2016,20/03/2016,38,FALSE,FALSE,TRUE
25,2016,12,21/03/2016,27/03/2016,22,FALSE,FALSE,FALSE
26,2016,13,28/03/2016,03/04/2016,17,FALSE,FALSE,FALSE
27,2016,14,04/04/2016,10/04/2016,10,FALSE,FALSE,FALSE
28,2016,15,11/04/2016,17/04/2016,8,FALSE,FALSE,FALSE
29,2016,16,18/04/2016,24/04/2016,2,FALSE,FALSE,FALSE
30,2016,17,25/04/2016,01/05/2016,0,FALSE,FALSE,FALSE
31,2016,18,02/05/2016,08/05/2016,1,FALSE,FALSE,FALSE
32,2016,19,09/05/2016,15/05/2016,0,FALSE,FALSE,FALSE
33,2016,20,16/05/2016,22/05/2016,0,FALSE,FALSE,FALSE
34,2016,21,23/05/2016,29/05/2016,0,FALSE,FALSE,FALSE
35,2016,22,30/05/2016,05/06/2016,0,FALSE,FALSE,FALSE
36,2016,23,06/06/2016,12/06/2016,0,FALSE,FALSE,FALSE
37,2016,24,13/06/2016,19/06/2016,0,FALSE,FALSE,FALSE
38,2016,25,20/06/2016,26/06/2016,0,FALSE,FALSE,FALSE
39,2016,26,27/06/2016,03/07/2016,0,FALSE,FALSE,FALSE
40,2016,27,04/07/2016,10/07/2016,0,FALSE,FALSE,FALSE
41,2016,28,11/07/2016,17/07/2016,0,FALSE,FALSE,FALSE
42,2016,29,18/07/2016,24/07/2016,0,FALSE,FALSE,FALSE
43,2016,30,25/07/2016,31/07/2016,0,FALSE,FALSE,FALSE
44,2016,31,01/07/2016,07/08/2016,0,FALSE,FALSE,FALSE
45,2016,32,08/08/2016,14/08/2016,0,FALSE,FALSE,FALSE
46,2016,33,15/08/2016,21/08/2016,0,FALSE,FALSE,FALSE
47,2016,34,22/08/2016,28/08/2016,0,FALSE,FALSE,FALSE
48,2016,35,29/08/2016,04/09/2016,0,FALSE,FALSE,FALSE
49,2016,36,05/09/2016,11/09/2016,0,FALSE,FALSE,FALSE
50,2016,37,12/09/2016,18/09/2016,0,FALSE,FALSE,FALSE
51,2016,38,19/09/2016,25/09/2016,0,FALSE,FALSE,FALSE
52,2016,39,26/09/2016,02/10/2016,0,FALSE,FALSE,FALSE
53,2016,40,03/10/2016,09/10/2016,0,FALSE,FALSE,FALSE
54,2016,41,10/10/2016,16/10/2016,0,FALSE,FALSE,FALSE
55,2016,42,17/10/2016,23/10/2016,0,FALSE,FALSE,FALSE
56,2016,43,24/10/2016,30/10/2016,1,FALSE,FALSE,FALSE
57,2016,44,31/10/2016,06/11/2016,0,FALSE,FALSE,FALSE
58,2016,45,07/11/2016,13/11/2016,0,FALSE,FALSE,FALSE
59,2016,46,14/11/2016,20/11/2016,0,FALSE,FALSE,FALSE
60,2016,47,21/11/2016,27/11/2016,4,FALSE,FALSE,FALSE
61,2016,48,28/11/2016,04/12/2016,7,FALSE,FALSE,FALSE
62,2016,49,05/12/2016,11/12/2016,15,FALSE,FALSE,FALSE
63,2016,50,12/12/2016,18/12/2016,25,FALSE,FALSE,FALSE
64,2016,51,19/12/2016,25/12/2016,47,FALSE,FALSE,TRUE
65,2016,52,26/12/2016,01/01/2017,71,FALSE,TRUE,TRUE
66,2017,1,02/01/2017,08/01/2017,103,TRUE,TRUE,TRUE
67,2017,2,09/01/2017,15/01/2017,99,TRUE,TRUE,TRUE
68,2017,3,16/01/2017,22/01/2017,89,TRUE,TRUE,TRUE
69,2017,4,23/01/2017,29/01/2017,66,FALSE,TRUE,TRUE
70,2017,5,30/01/2017,05/02/2017,37,FALSE,FALSE,TRUE
71,2017,6,06/02/2017,12/02/2017,46,FALSE,FALSE,TRUE
72,2017,7,13/02/2017,19/02/2017,36,FALSE,FALSE,FALSE
73,2017,8,20/02/2017,26/02/2017,34,FALSE,FALSE,FALSE
74,2017,9,27/02/2017,05/03/2017,21,FALSE,FALSE,FALSE
75,2017,10,06/03/2017,12/03/2017,23,FALSE,FALSE,FALSE
76,2017,11,13/03/2017,19/03/2017,36,FALSE,FALSE,FALSE
77,2017,12,20/03/2017,26/03/2017,16,FALSE,FALSE,FALSE
78,2017,13,27/03/2017,02/04/2017,17,FALSE,FALSE,FALSE
79,2017,14,03/04/2017,09/04/2017,16,FALSE,FALSE,FALSE
80,2017,15,10/04/2017,16/04/2017,5,FALSE,FALSE,FALSE
81,2017,16,17/04/2017,23/04/2017,10,FALSE,FALSE,FALSE
82,2017,17,24/04/2017,30/04/2017,10,FALSE,FALSE,FALSE
83,2017,18,01/05/2017,07/05/2017,5,FALSE,FALSE,FALSE
84,2017,19,08/05/2017,14/05/2017,3,FALSE,FALSE,FALSE
85,2017,20,15/05/2017,21/05/2017,3,FALSE,FALSE,FALSE
86,2017,21,22/05/2017,28/05/2017,3,FALSE,FALSE,FALSE
87,2017,22,29/05/2017,04/06/2017,1,FALSE,FALSE,FALSE
88,2017,23,05/06/2017,11/06/2017,1,FALSE,FALSE,FALSE
89,2017,24,12/06/2017,18/06/2017,0,FALSE,FALSE,FALSE
90,2017,25,19/06/2017,25/06/2017,0,FALSE,FALSE,FALSE
91,2017,26,26/06/2017,02/07/2017,0,FALSE,FALSE,FALSE
92,2017,27,03/07/2017,09/07/2017,0,FALSE,FALSE,FALSE
93,2017,28,10/07/2017,16/07/2017,0,FALSE,FALSE,FALSE
94,2017,29,17/07/2017,23/07/2017,0,FALSE,FALSE,FALSE
95,2017,30,24/07/2017,30/07/2017,0,FALSE,FALSE,FALSE
96,2017,31,31/07/2017,06/08/2017,0,FALSE,FALSE,FALSE
97,2017,32,07/08/2017,13/08/2017,0,FALSE,FALSE,FALSE
98,2017,33,14/08/2017,20/08/2017,0,FALSE,FALSE,FALSE
99,2017,34,21/08/2017,27/08/2017,0,FALSE,FALSE,FALSE
100,2017,35,28/08/2017,03/09/2017,0,FALSE,FALSE,FALSE
101,2017,36,04/09/2017,10/09/2017,0,FALSE,FALSE,FALSE
102,2017,37,11/09/2017,17/09/2017,0,FALSE,FALSE,FALSE
103,2017,38,18/09/2017,24/09/2017,0,FALSE,FALSE,FALSE
104,2017,39,25/09/2017,01/10/2017,0,FALSE,FALSE,FALSE
105,2017,40,02/10/2017,08/10/2017,0,FALSE,FALSE,FALSE
106,2017,41,09/10/2017,15/10/2017,0,FALSE,FALSE,FALSE
107,2017,42,16/10/2017,22/10/2017,0,FALSE,FALSE,FALSE
108,2017,43,23/10/2017,29/10/2017,4,FALSE,FALSE,FALSE
109,2017,44,30/10/2017,05/11/2017,1,FALSE,FALSE,FALSE
110,2017,45,06/11/2017,12/11/2017,5,FALSE,FALSE,FALSE
111,2017,46,13/11/2017,19/11/2017,6,FALSE,FALSE,FALSE
112,2017,47,20/11/2017,26/11/2017,8,FALSE,FALSE,FALSE
113,2017,48,27/11/2017,03/12/2017,14,FALSE,FALSE,FALSE
114,2017,49,04/12/2017,10/12/2017,8,FALSE,FALSE,FALSE
115,2017,50,11/12/2017,17/12/2017,29,FALSE,FALSE,FALSE
116,2017,51,18/12/2017,24/12/2017,29,FALSE,FALSE,FALSE
117,2017,52,25/12/2017,31/12/2017,31,FALSE,FALSE,FALSE
118,2018,1,01/01/2018,07/01/2018,43,FALSE,FALSE,TRUE
119,2018,2,08/01/2018,14/01/2018,41,FALSE,FALSE,TRUE
120,2018,3,15/01/2018,21/01/2018,42,FALSE,FALSE,TRUE
121,2018,4,22/01/2018,28/01/2018,47,FALSE,FALSE,TRUE
122,2018,5,29/01/2018,04/02/2018,42,FALSE,FALSE,TRUE
123,2018,6,05/02/2018,11/02/2018,61,FALSE,TRUE,TRUE
124,2018,7,12/02/2018,18/02/2018,49,FALSE,FALSE,TRUE
125,2018,8,19/02/2018,25/02/2018,39,FALSE,FALSE,TRUE
126,2018,9,26/02/2018,04/03/2018,29,FALSE,FALSE,FALSE
127,2018,10,05/03/2018,11/03/2018,42,FALSE,FALSE,TRUE
128,2018,11,12/03/2018,18/03/2018,25,FALSE,FALSE,FALSE
129,2018,12,19/03/2018,25/03/2018,19,FALSE,FALSE,FALSE
130,2018,13,26/03/2018,01/04/2018,14,FALSE,FALSE,FALSE
131,2018,14,02/04/2018,08/04/2018,12,FALSE,FALSE,FALSE
132,2018,15,09/04/2018,15/04/2018,7,FALSE,FALSE,FALSE
133,2018,16,16/04/2018,22/04/2018,3,FALSE,FALSE,FALSE
134,2018,17,23/04/2018,29/04/2018,4,FALSE,FALSE,FALSE
135,2018,18,30/04/2018,06/05/2018,0,FALSE,FALSE,FALSE
136,2018,19,07/05/2018,13/05/2018,4,FALSE,FALSE,FALSE
137,2018,20,14/05/2018,20/05/2018,1,FALSE,FALSE,FALSE
138,2018,21,21/05/2018,27/05/2018,0,FALSE,FALSE,FALSE
139,2018,22,28/05/2018,03/06/2018,0,FALSE,FALSE,FALSE
140,2018,23,04/06/2018,10/06/2018,0,FALSE,FALSE,FALSE
141,2018,24,11/06/2018,17/06/2018,0,FALSE,FALSE,FALSE
142,2018,25,18/06/2018,24/06/2018,0,FALSE,FALSE,FALSE
143,2018,26,25/06/2018,01/07/2018,0,FALSE,FALSE,FALSE
144,2018,27,02/07/2018,08/07/2018,0,FALSE,FALSE,FALSE
145,2018,28,09/07/2018,15/07/2018,0,FALSE,FALSE,FALSE
146,2018,29,16/07/2018,22/07/2018,0,FALSE,FALSE,FALSE
147,2018,30,23/07/2018,29/07/2018,0,FALSE,FALSE,FALSE
148,2018,31,30/07/2018,05/08/2018,0,FALSE,FALSE,FALSE
149,2018,32,06/08/2018,12/08/2018,0,FALSE,FALSE,FALSE
150,2018,33,13/08/2018,19/08/2018,0,FALSE,FALSE,FALSE
151,2018,34,20/08/2018,26/08/2018,0,FALSE,FALSE,FALSE
152,2018,35,27/08/2018,02/09/2018,0,FALSE,FALSE,FALSE
153,2018,36,03/09/2018,09/09/2018,0,FALSE,FALSE,FALSE
154,2018,37,10/09/2018,16/09/2018,0,FALSE,FALSE,FALSE
155,2018,38,17/09/2018,23/09/2018,0,FALSE,FALSE,FALSE
156,2018,39,24/09/2018,30/09/2018,0,FALSE,FALSE,FALSE
157,2018,40,01/10/2018,07/10/2018,1,FALSE,FALSE,FALSE
158,2018,41,08/10/2018,14/10/2018,0,FALSE,FALSE,FALSE
159,2018,42,15/10/2018,21/10/2018,0,FALSE,FALSE,FALSE
160,2018,43,22/10/2018,28/10/2018,0,FALSE,FALSE,FALSE
161,2018,44,29/10/2018,04/11/2018,0,FALSE,FALSE,FALSE
162,2018,45,05/11/2018,11/11/2018,1,FALSE,FALSE,FALSE
163,2018,46,12/11/2018,18/11/2018,3,FALSE,FALSE,FALSE
164,2018,47,19/11/2018,25/11/2018,8,FALSE,FALSE,FALSE
165,2018,48,26/11/2018,02/12/2018,10,FALSE,FALSE,FALSE
166,2018,49,03/12/2018,09/12/2018,14,FALSE,FALSE,FALSE
167,2018,50,10/12/2018,16/12/2018,48,FALSE,FALSE,TRUE
168,2018,51,17/12/2018,23/12/2018,52,FALSE,FALSE,TRUE
169,2018,52,24/12/2018,30/12/2018,72,FALSE,TRUE,TRUE
170,2019,1,30/12/2018,06/01/2019,68,FALSE,TRUE,TRUE
171,2019,2,07/01/2019,13/01/2019,154,TRUE,TRUE,TRUE
172,2019,3,14/01/2019,20/01/2019,122,TRUE,TRUE,TRUE
173,2019,4,21/01/2019,27/01/2019,87,TRUE,TRUE,TRUE
174,2019,5,28/01/2019,03/02/2019,75,FALSE,TRUE,TRUE
175,2019,6,04/02/2019,10/02/2019,40,FALSE,FALSE,TRUE
176,2019,7,11/02/2019,17/02/2019,6,FALSE,FALSE,FALSE
177,2019,8,18/02/2019,24/02/2019,21,FALSE,FALSE,FALSE
178,2019,9,25/02/2019,03/03/2019,13,FALSE,FALSE,FALSE
179,2019,10,04/03/2019,10/03/2019,10,FALSE,FALSE,FALSE
180,2019,11,11/03/2019,17/03/2019,11,FALSE,FALSE,FALSE
181,2019,12,18/03/2019,24/03/2019,15,FALSE,FALSE,FALSE
182,2019,13,25/03/2019,31/03/2019,7,FALSE,FALSE,FALSE
183,2019,14,01/04/2019,07/04/2019,15,FALSE,FALSE,FALSE
184,2019,15,08/04/2019,14/04/2019,7,FALSE,FALSE,FALSE
185,2019,16,15/04/2019,21/04/2019,9,FALSE,FALSE,FALSE
186,2019,17,22/04/2019,28/04/2019,17,FALSE,FALSE,FALSE
187,2019,18,29/04/2019,05/05/2019,14,FALSE,FALSE,FALSE
188,2019,19,06/05/2019,12/05/2019,19,FALSE,FALSE,FALSE
189,2019,20,11/05/2019,19/05/2019,10,FALSE,FALSE,FALSE
190,2019,21,20/05/2019,26/05/2019,26,FALSE,FALSE,FALSE
191,2019,22,27/05/2019,02/06/2019,0,FALSE,FALSE,FALSE
192,2019,23,03/06/2019,09/06/2019,0,FALSE,FALSE,FALSE
193,2019,24,10/06/2019,16/06/2019,0,FALSE,FALSE,FALSE
194,2019,25,17/06/2019,23/06/2019,0,FALSE,FALSE,FALSE
195,2019,26,24/06/2019,30/06/2019,0,FALSE,FALSE,FALSE
196,2019,27,01/07/2019,07/07/2019,8,FALSE,FALSE,FALSE
197,2019,28,08/07/2019,14/07/2019,0,FALSE,FALSE,FALSE
198,2019,29,15/07/2019,21/07/2019,0,FALSE,FALSE,FALSE
199,2019,30,22/07/2019,28/07/2019,0,FALSE,FALSE,FALSE
200,2019,31,29/07/2019,04/08/2019,0,FALSE,FALSE,FALSE
201,2019,32,05/08/2019,11/08/2019,0,FALSE,FALSE,FALSE
202,2019,33,12/08/2019,18/08/2019,6,FALSE,FALSE,FALSE
203,2019,34,19/08/2019,25/08/2019,0,FALSE,FALSE,FALSE
204,2019,35,26/08/2019,01/09/2019,0,FALSE,FALSE,FALSE
205,2019,36,02/09/2019,08/09/2019,0,FALSE,FALSE,FALSE
