ID,Year,Week,Week Start Date,Week End Date,Positive,Treshold Anomaly,Z_Score Anomaly,Tukey's Model Anomaly
206,2019,37,09/09/2019,15/09/2019,0,FALSE,FALSE,FALSE
207,2019,38,16/09/2019,22/09/2019,0,FALSE,FALSE,FALSE
208,2019,39,23/09/2019,29/09/2019,0,FALSE,FALSE,FALSE
209,2019,40,30/09/2019,06/10/2019,8,FALSE,FALSE,FALSE
210,2019,41,07/10/2019,13/10/2019,0,FALSE,FALSE,FALSE
211,2019,42,14/10/2019,20/10/2019,2,FALSE,FALSE,FALSE
212,2019,43,21/10/2019,27/10/2019,6,FALSE,FALSE,FALSE
213,2019,44,28/10/2019,03/11/2019,21,FALSE,FALSE,FALSE
214,2019,45,04/11/2019,10/11/2019,2,FALSE,FALSE,FALSE
215,2019,46,11/11/2019,17/11/2019,7,FALSE,FALSE,FALSE
216,2019,47,18/11/2019,24/11/2019,13,FALSE,FALSE,FALSE
217,2019,48,25/11/2019,01/12/2019,6,FALSE,FALSE,FALSE
218,2019,49,02/12/2019,08/12/2019,5,FALSE,FALSE,FALSE
219,2019,50,09/12/2019,15/12/2019,27,FALSE,FALSE,FALSE
220,2019,51,16/12/2019,22/12/2019,34,FALSE,FALSE,FALSE
221,2019,52,23/12/2019,29/12/2019,95,TRUE,TRUE,TRUE
222,2020,1,30/12/2019,05/01/2020,52,FALSE,FALSE,TRUE
223,2020,2,06/01/2020,12/01/2020,66,FALSE,TRUE,TRUE
224,2020,3,13/01/2020,19/01/2020,140,TRUE,TRUE,TRUE
225,2020,4,20/01/2020,26/01/2020,56,FALSE,TRUE,TRUE
226,2020,5,27/01/2020,02/02/2020,83,TRUE,TRUE,TRUE
227,2020,6,03/02/2020,09/02/2020,28,FALSE,FALSE,FALSE
228,2020,7,10/02/2020,16/02/2020,55,FALSE,TRUE,TRUE
229,2020,8,17/02/2020,23/02/2020,51,FALSE,FALSE,TRUE
230,2020,9,24/02/2020,01/03/2020,37,FALSE,FALSE,TRUE
231,2020,10,02/03/2020,08/03/2020,0,FALSE,FALSE,FALSE
232,2020,11,09/03/2020,16/03/2020,0,FALSE,FALSE,FALSE
