ID,Year,Week,Week Start Date,Week End Date,Positive
28,2023,29,17/7/2023,23/7/2023,0
29,2023,30,24/7/2023,30/7/2023,0
30,2023,31,31/7/2023,6/8/2023,0
31,2023,32,7/8/2023,13/8/2023,0
32,2023,33,14/8/2023,20/8/2023,0
33,2023,34,21/8/2023,27/8/2023,0
34,2023,35,28/8/2023,3/9/2023,0
35,2023,36,4/9/2023,10/9/2023,0
36,2023,37,11/9/2023,17/9/2023,0
37,2023,38,18/9/2023,24/9/2023,0
38,2023,39,25/9/2023,1/10/2023,0
39,2023,40,2/10/2023,8/10/2032,0
40,2023,41,9/10/2023,15/10/2023,2
41,2023,42,16/10/2023,22/10/2023,1
42,2023,43,23/10/2023,29/10/2023,0
43,2023,44,30/10/2023,5/11/2023,5
44,2023,45,6/11/2023,12/11/2023,1
45,2023,46,13/11/2023,19/11/2023,0
46,2023,47,20/11/2023,26/11/2023,4
47,2023,48,27/11/2023,3/12/2023,3
48,2023,49,4/12/2023,10/12/2023,9
49,2023,50,11/12/2023,17/12/2023,23
50,2023,51,18/12/2023,24/12/2023,39
51,2023,52,25/12/2023,31/12/2023,59
52,2024,1,1/1/2024,7/1/2024,69
53,2024,2,8/1/2024,14/1/2024,66
54,2024,3,15/1/2024,21/1/2024,83
55,2024,4,22/1/2024,28/1/2024,66
56,2024,5,29/1/2024,4/2/2024,38
57,2024,6,5/2/2024,11/2/2024,37
58,2024,7,12/2/2024,18/2/2024,39
59,2024,8,19/2/2024,25/2/2024,27
60,2024,9,26/2/2024,3/3/2024,25
61,2024,10,4/3/2024,10/3/2024,27
62,2024,11,11/3/2024,17/3/2024,32
63,2024,12,18/3/2024,24/3/2024,25
64,2024,13,25/3/2024,31/3/2024,39
65,2024,14,1/4/2024,7/4/2024,22
