ID,Year,Week,Week Start Date,Week End Date,Positive
0,2021,12,22/03/2021,28/03/2021,0
1,2021,13,29/03/2021,4/4/2021,0
2,2021,14,5/4/2021,11/4/2021,0
3,2021,15,12/4/2021,18/04/2021,0
4,2021,16,19/4/2021,25/4/2021,0
5,2021,17,26/4/2021,2/5/2021,0
6,2021,18,3/5/2021,9/5/2021,0
7,2021,19,10/5/2021,16/5/2021,0
8,2021,20,17/05/2021,23/05/2021,0
9,2021,21,24/5/2021,30/5/2021,0
10,2021,22,31/5/2021,6/6/2021,0
11,2021,23,7/6/2021,13/6/2021,0
12,2021,24,14/6/2021,20/6/2021,0
13,2021,25,21/6/2021,27/6/2021,0
14,2021,26,28/6/2021,4/7/2021,0
15,2021,27,5/7/2021,11/7/2021,0
16,2021,28,12/7/2021,18/7/2021,0
17,2021,29,19/7/2021,25/7/2021,0
18,2021,30,26/7/2021,1/8/2021,0
19,2021,31,2/8/2021,8/8/2021,0
20,2021,32,9/8/2021,15/08/2021,0
21,2021,33,16/8/2021,22/8/2021,0
22,2021,34,23/8/2021,29/8/2021,0
23,2021,35,30/8/2021,5/9/2021,0
24,2021,36,6/9/2021,12/9/2021,0
25,2021,37,13/9/2021,19/9/2021,0
26,2021,38,20/9/2021,26/9/2021,0
27,2021,39,27/09/2021,3/10/2021,0
28,2021,40,4/10/2021,10/10/2021,0
29,2021,41,11/10/2021,17/10/2021,0
30,2021,42,18/10/2021,24/10/2021,0
31,2021,43,25/10/2021,31/10/2021,0
32,2021,44,1/11/2021,7/11/2021,1
33,2021,45,8/11/2021,14/11/2021,1
34,2021,46,15/11/2021,21/11/2021,4
35,2021,47,22/11/2021,28/11/2021,1
36,2021,48,29/11/2021,5/12/2021,7
37,2021,49,6/12/2021,12/12/2021,23
38,2021,50,13/12/2021,19/12/2021,13
39,2021,51,20/12/2021,26/12/2021,18
40,2021,52,27/12/2021,2/1/2022,28
41,2022,1,3/1/2022,9/1/2022,19
42,2022,2,10/1/2022,16/1/2022,38
43,2022,3,17/1/2022,23/1/2022,35
44,2022,4,24/1/2022,30/1/2022,6
45,2022,5,31/1/2022,6/2/2022,1
46,2022,6,7/2/2022,13/2/2022,0
47,2022,7,14/2/2022,20/2/2022,2
48,2022,8,21/2/2022,27/2/2022,1
49,2022,9,28/2/2022,6/3/2022,1
50,2022,10,7/3/2022,13/3/2022,0
51,2022,11,14/3/2022,20/3/2022,0
52,2022,12,21/3/2022,27/3/2022,0
53,2022,13,28/3/2022,3/4/2022,2
54,2022,14,4/4/2022,10/4/2022,1
55,2022,15,11/4/2022,17/4/2022,1
56,2022,16,18/4/2022,24/4/2022,0
57,2022,17,25/4/2022,1/5/2022,0
58,2022,18,2/5/2022,8/5/2022,0
59,2022,19,9/5/2022,15/5/2022,1
60,2022,20,16/5/2022,22/5/2022,0
61,2022,21,23/5/2022,29/5/2022,0
62,2022,22,30/5/2022,5/6/2022,0
63,2022,23,6/6/2022,12/6/2022,0
64,2022,24,13/6/2022,19/6/2022,0
65,2022,25,20/6/2022,26/6/2022,0
66,2022,26,27/6/2022,3/7/2022,0
67,2022,27,4/7/2022,10/7/2022,0
68,2022,28,11/7/2022,17/7/2022,0
69,2022,29,18/7/2022,24/7/2022,0
70,2022,30,25/7/2022,31/7/2022,0
71,2022,31,1/8/2022,7/8/2022,0
72,2022,32,8/8/2022,14/8/2022,0
73,2022,33,15/8/2022,21/8/2022,0
74,2022,34,22/8/2022,28/8/2022,0
75,2022,35,29/8/2022,4/9/2022,0
76,2022,36,5/9/2022,11/9/2022,0
77,2022,37,12/9/2022,18/9/2022,0
78,2022,38,19/9/2022,25/9/2022,0
79,2022,39,26/9/2022,2/10/2022,0
80,2022,40,3/10/2022,9/10/2022,0
81,2022,41,10/10/2022,16/10/2022,0
82,2022,42,17/10/2022,23/10/2022,2
83,2022,43,24/10/2022,30/10/2022,1
84,2022,44,31/10/2022,6/11/2022,9
85,2022,45,7/11/2022,13/11/2022,12
86,2022,46,14/11/2022,20/11/2022,16
87,2022,47,21/11/2022,27/11/2022,21
88,2022,48,28/11/2022,4/12/2022,35
89,2022,49,5/12/2022,11/12/2022,79
90,2022,50,12/12/2022,18/12/2022,96
91,2022,51,19/12/2022,25/12/2022,91
92,2022,52,26/12/2022,1/1/2023,79
0,2023,1,2/1/2023,8/1/2023,91
1,2023,2,9/1/2023,15/1/2023,82
2,2023,3,16/1/2023,22/1/2023,78
3,2023,4,23/1/2023,29/1/2023,40
4,2023,5,30/1/2023,5/2/2023,30
5,2023,6,6/2/2023,12/2/2023,22
6,2023,7,13/2/2023,19/2/2023,16
7,2023,8,20/2/2023,26/2/2023,22
8,2023,9,27/2/2023,5/3/2023,17
9,2023,10,6/3/2023,12/3/2023,26
10,2023,11,13/3/2023,19/3/2023,23
11,2023,12,20/3/2023,26/3/2023,18
12,2023,13,27/3/2023,2/4/2023,16
13,2023,14,3/4/2023,9/4/2023,22
14,2023,15,10/4/2023,16/4/2023,26
15,2023,16,17/4/2023,23/4/2023,9
16,2023,17,24/4/2023,30/4/2023,14
17,2023,18,1/5/2023,7/5/2023,7
18,2023,19,8/5/2023,14/5/2023,8
19,2023,20,15/5/2023,21/5/2023,9
20,2023,21,22/5/2023,28/5/2023,0
21,2023,22,29/5/2023,4/6/2023,0
22,2023,23,5/6/2023,11/6/2023,0
23,2023,24,12/6/2023,18/6/2023,0
24,2023,25,19/6/2023,25/6/2023,0
25,2023,26,26/6/2023,2/7/2023,0
26,2023,27,3/7/2023,9/7/2023,0
27,2023,28,10/7/2023,16/7/2023,0
