ID,Year,Week,Week Start Date,Week End Date,Positive
120,2018,3,15/01/2018,21/01/2018,42
121,2018,4,22/01/2018,28/01/2018,47
122,2018,5,29/01/2018,4/2/2018,42
123,2018,6,5/2/2018,11/2/2018,61
124,2018,7,12/2/2018,18/02/2018,49
125,2018,8,19/02/2018,25/02/2018,39
126,2018,9,26/02/2018,4/3/2018,29
127,2018,10,5/3/2018,11/3/2018,42
128,2018,11,12/3/2018,18/03/2018,25
129,2018,12,19/03/2018,25/03/2018,19
130,2018,13,26/03/2018,1/4/2018,14
131,2018,14,2/4/2018,8/4/2018,12
132,2018,15,9/4/2018,15/04/2018,7
133,2018,16,16/04/2018,22/04/2018,3
134,2018,17,23/04/2018,29/04/2018,4
135,2018,18,30/04/2018,6/5/2018,0
136,2018,19,7/5/2018,13/05/2018,4
137,2018,20,14/05/2018,20/05/2018,1
138,2018,21,21/05/2018,27/05/2018,0
139,2018,22,28/05/2018,3/6/2018,0
140,2018,23,4/6/2018,10/6/2018,0
141,2018,24,11/6/2018,17/06/2018,0
142,2018,25,18/06/2018,24/06/2018,0
143,2018,26,25/06/2018,1/7/2018,0
144,2018,27,2/7/2018,8/7/2018,0
145,2018,28,9/7/2018,15/07/2018,0
146,2018,29,16/07/2018,22/07/2018,0
147,2018,30,23/07/2018,29/07/2018,0
148,2018,31,30/07/2018,5/8/2018,0
149,2018,32,6/8/2018,12/8/2018,0
150,2018,33,13/08/2018,19/08/2018,0
151,2018,34,20/08/2018,26/08/2018,0
152,2018,35,27/08/2018,2/9/2018,0
153,2018,36,3/9/2018,9/9/2018,0
154,2018,37,10/9/2018,16/09/2018,0
155,2018,38,17/09/2018,23/09/2018,0
156,2018,39,24/09/2018,30/09/2018,0
157,2018,40,1/10/2018,7/10/2018,1
158,2018,41,8/10/2018,14/10/2018,0
159,2018,42,15/10/2018,21/10/2018,0
160,2018,43,22/10/2018,28/10/2018,0
161,2018,44,29/10/2018,4/11/2018,0
162,2018,45,5/11/2018,11/11/2018,1
163,2018,46,12/11/2018,18/11/2018,3
164,2018,47,19/11/2018,25/11/2018,8
165,2018,48,26/11/2018,2/12/2018,10
166,2018,49,3/12/2018,9/12/2018,14
167,2018,50,10/12/2018,16/12/2018,48
168,2018,51,17/12/2018,23/12/2018,52
169,2018,52,24/12/2018,30/12/2018,72
170,2019,1,30/12/2018,6/1/2019,68
171,2019,2,7/1/2019,13/01/2019,154
172,2019,3,14/01/2019,20/01/2019,122
173,2019,4,21/01/2019,27/01/2019,87
174,2019,5,28/01/2019,3/2/2019,75
175,2019,6,4/2/2019,10/2/2019,40
176,2019,7,11/2/2019,17/02/2019,6
177,2019,8,18/02/2019,24/02/2019,21
178,2019,9,25/02/2019,3/3/2019,13
179,2019,10,4/3/2019,10/3/2019,10
180,2019,11,11/3/2019,17/03/2019,11
181,2019,12,18/03/2019,24/03/2019,15
182,2019,13,25/03/2019,31/03/2019,7
183,2019,14,1/4/2019,7/4/2019,15
184,2019,15,8/4/2019,14/04/2019,7
185,2019,16,15/04/2019,21/04/2019,9
186,2019,17,22/04/2019,28/04/2019,17
187,2019,18,29/04/2019,5/5/2019,14
188,2019,19,6/5/2019,12/5/2019,19
189,2019,20,11/5/2019,19/05/2019,10
190,2019,21,20/05/2019,26/05/2019,26
191,2019,22,27/05/2019,2/6/2019,0
192,2019,23,3/6/2019,9/6/2019,0
193,2019,24,10/6/2019,16/06/2019,0
194,2019,25,17/06/2019,23/06/2019,0
195,2019,26,24/06/2019,30/06/2019,0
